Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
SEVY*203B,SEVY,,Single in a Quad,1,,,SEVY*203A SEVY*203C,R7M20,O7M49,,,,
SEVY*203C,SEVY,,Single in a Quad,1,,,SEVY*203A SEVY*203B,R7M8,O7M49,,,,
SEVY*207A,SEVY,,Single in a Double,1,,,SEVY*207B,R7M11,O7M21,,,,
SEVY*207B,SEVY,,Single in a Double,1,,,SEVY*207A,R7M22,O7M21,,,,
SEVY*212A,SEVY,,Single in a Double,1,,,SEVY*212B,R7M23,O7M64,,,,
SEVY*212B,SEVY,,Single in a Double,1,,,SEVY*212A,R7M24,O7M64,,,,
SEVY*213,SEVY,,Single,1,,,,R7M25,,,,,
SEVY*303B,SEVY,,Single in a Quad,1,,,SEVY*303A SEVY*303C,R7M31,O7M29,,,,
SEVY*303C,SEVY,,Single in a Quad,1,,,SEVY*303A SEVY*303B,R7M53,O7M29,,,,
SEVY*307B,SEVY,,Single in a Triple,1,,,SEVY*307A,R7M38,,,,,
SEVY*311,SEVY,,Single,1,,,,R7M42,,,,,
SEVY*403B,SEVY,,Single in a Quad,1,,,SEVY*403A,R7M48,O7M46,,,,
SEVY*203A,SEVY,,Double in Quad,2,,,SEVY*203B SEVY*203C,R7M6,O7M49,,,,
SEVY*203A,SEVY,,Double in Quad,2,,,SEVY*203B SEVY*203C,R7M6,O7M49,,,,
SEVY*204,SEVY,,Double,2,,,,RCARD ACC,,,,,
SEVY*204,SEVY,,Double,2,,,,RCARD ACC,,,,,
SEVY*208A,SEVY,,Double in Quad,2,,,SEVY*208B,R7M14,O7M13,,,,
SEVY*208A,SEVY,,Double in Quad,2,,,SEVY*208B,R7M14,O7M13,,,,
SEVY*208B,SEVY,,Double in Quad,2,,,SEVY*208A,R7M15,O7M13,,,,
SEVY*208B,SEVY,,Double in Quad,2,,,SEVY*208A,R7M15,O7M13,,,,
SEVY*209A,SEVY,,Double in Quad,2,,,SEVY*209B,R7M66,O7M59,,,,
SEVY*209A,SEVY,,Double in Quad,2,,,SEVY*209B,R7M66,O7M59,,,,
SEVY*209B,SEVY,,Double in Quad,2,,,SEVY*209A,R7M32,O7M59,,,,
SEVY*209B,SEVY,,Double in Quad,2,,,SEVY*209A,R7M32,O7M59,,,,
SEVY*210A,SEVY,,Double in Quad,2,,,SEVY*210B,R7M55,O7M26,,,,
SEVY*210A,SEVY,,Double in Quad,2,,,SEVY*210B,R7M55,O7M26,,,,
SEVY*210B,SEVY,,Double in Quad,2,,,SEVY*210A,R7M56,O7M26,,,,
SEVY*210B,SEVY,,Double in Quad,2,,,SEVY*210A,R7M56,O7M26,,,,
SEVY*214A,SEVY,,Double in Quad,2,,,SEVY*214B,R7M10,O7M60,,,,
SEVY*214A,SEVY,,Double in Quad,2,,,SEVY*214B,R7M10,O7M60,,,,
SEVY*214B,SEVY,,Double in Quad,2,,,SEVY*214A,R7M610,O7M60,,,,
SEVY*214B,SEVY,,Double in Quad,2,,,SEVY*214A,R7M610,O7M60,,,,
SEVY*303A,SEVY,,Double in Quad,2,,,SEVY*303B SEVY*303C,R7M30,O7M29,,,,
SEVY*303A,SEVY,,Double in Quad,2,,,SEVY*303B SEVY*303C,R7M30,O7M29,,,,
SEVY*304,SEVY,,Double,2,,,,R7M33,,,,,
SEVY*304,SEVY,,Double,2,,,,R7M33,,,,,
SEVY*306A,SEVY,,Double in Quad,2,,,SEVY*306B,R7M35,O7M34,,,,
SEVY*306A,SEVY,,Double in Quad,2,,,SEVY*306B,R7M35,O7M34,,,,
SEVY*306B,SEVY,,Double in Quad,2,,,SEVY*306A,R7M36,O7M34,,,,
SEVY*306B,SEVY,,Double in Quad,2,,,SEVY*306A,R7M36,O7M34,,,,
SEVY*307A,SEVY,,Double in Triple,2,,,SEVY*307B,R7M37,,,,,
SEVY*307A,SEVY,,Double in Triple,2,,,SEVY*307B,R7M37,,,,,
SEVY*309A,SEVY,,Double in Quad,2,,,SEVY*309B,R7M40,O7M16,,,,
SEVY*309A,SEVY,,Double in Quad,2,,,SEVY*309B,R7M40,O7M16,,,,
SEVY*309B,SEVY,,Double in Quad,2,,,SEVY*309A,R7M28,O7M16,,,,
SEVY*309B,SEVY,,Double in Quad,2,,,SEVY*309A,R7M28,O7M16,,,,
SEVY*312A,SEVY,,Double in Quad,2,,,SEVY*312B,R7M67,O7M5,,,,
SEVY*312A,SEVY,,Double in Quad,2,,,SEVY*312B,R7M67,O7M5,,,,
SEVY*312B,SEVY,,Double in Quad,2,,,SEVY*312A,R7M65,O7M5,,,,
SEVY*312B,SEVY,,Double in Quad,2,,,SEVY*312A,R7M65,O7M5,,,,
SEVY*409A,SEVY,,Double in Quad,2,,,SEVY*409B,R7M58,O7M57,,,,
SEVY*409A,SEVY,,Double in Quad,2,,,SEVY*409B,R7M58,O7M57,,,,
SEVY*409B,SEVY,,Double in Quad,2,,,SEVY*409A,R7M51,O7M57,,,,
SEVY*409B,SEVY,,Double in Quad,2,,,SEVY*409A,R7M51,O7M57,,,,
SEVY*403A,SEVY,,Triple in a Quad,3,,,SEVY*403B,R7M47,O7M46,,,,
SEVY*403A,SEVY,,Triple in a Quad,3,,,SEVY*403B,R7M47,O7M46,,,,
SEVY*403A,SEVY,,Triple in a Quad,3,,,SEVY*403B,R7M47,O7M46,,,,
