Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
GHUE*125,GHUE,125,Single,1,,,,R7G19,,,,,
GHUE*135,GHUE,135,Single,1,,,,R7G25,,,,,
GHUE*202,GHUE,202,Single,1,,,,R7G30,,,,,
GHUE*204,GHUE,204,Single,1,,,,R7G31,,,,,
GHUE*208,GHUE,208,Single,1,,,,R7G35,,,,,
GHUE*217,GHUE,217,Single,1,,,,R7G41,,,,,
GHUE*219,GHUE,219,Single,1,,,,R7G42,,,,,
GHUE*302,GHUE,302,Single,1,,,,R7G59,,,,,
GHUE*304,GHUE,304,Single,1,,,,R7G60,,,,,
GHUE*308,GHUE,308,Single,1,,,,R7G64,,,,,
GHUE*317,GHUE,317,Single,1,,,,R7G70,,,,,
GHUE*319,GHUE,319,Single,1,,,,R7G71,,,,,
GHUE*402,GHUE,402,Single,1,,,,R7G88,,,,,
GHUE*404,GHUE,404,Single,1,,,,R7G89,,,,,
GHUE*408,GHUE,408,Single,1,,,,R7G93,,,,,
GHUE*417,GHUE,417,Single,1,,,,R7G99,,,,,
GHUE*419,GHUE,419,Single,1,,,,R7G100,,,,,
GHUE*102,GHUE,102,Double,2,,,,R7G117,,,,,
GHUE*102,GHUE,102,Double,2,,,,R7G117,,,,,
GHUE*103,GHUE,103,Double,2,,,,R7G118,,,,,
GHUE*103,GHUE,103,Double,2,,,,R7G118,,,,,
GHUE*104,GHUE,104,Double,2,,,,R7G7,,,,,
GHUE*104,GHUE,104,Double,2,,,,R7G7,,,,,
GHUE*105,GHUE,105,Double,2,,,,R7G8,,,,,
GHUE*105,GHUE,105,Double,2,,,,R7G8,,,,,
GHUE*106,GHUE,106,Double,2,,,,R7G20,,,,,
GHUE*106,GHUE,106,Double,2,,,,R7G20,,,,,
GHUE*112,GHUE,112,Double,2,,,,R7G26,,,,,
GHUE*112,GHUE,112,Double,2,,,,R7G26,,,,,
GHUE*113,GHUE,113,Double,2,,,,R7G137,,,,,
GHUE*113,GHUE,113,Double,2,,,,R7G137,,,,,
GHUE*114,GHUE,114,Double,2,,,,R7G21,,,,,
GHUE*114,GHUE,114,Double,2,,,,R7G21,,,,,
GHUE*115,GHUE,115,Double,2,,,,R7G13,,,,,
GHUE*115,GHUE,115,Double,2,,,,R7G13,,,,,
GHUE*117,GHUE,117,Double,2,,,,R7G27,,,,,
GHUE*117,GHUE,117,Double,2,,,,R7G27,,,,,
GHUE*118,GHUE,118,Double,2,,,,R7G15,,,,,
GHUE*118,GHUE,118,Double,2,,,,R7G15,,,,,
GHUE*119,GHUE,119,Double,2,,,,R7G16,,,,,
GHUE*119,GHUE,119,Double,2,,,,R7G16,,,,,
GHUE*121,GHUE,121,Double,2,,,,R7G141,,,,,
GHUE*121,GHUE,121,Double,2,,,,R7G141,,,,,
GHUE*122,GHUE,122,Double,2,,,,R7G33,,,,,
GHUE*122,GHUE,122,Double,2,,,,R7G33,,,,,
GHUE*126,GHUE,126,Double,2,,,,R7G10,,,,,
GHUE*126,GHUE,126,Double,2,,,,R7G10,,,,,
GHUE*128,GHUE,128,Double,2,,,,R7G51,,,,,
GHUE*128,GHUE,128,Double,2,,,,R7G51,,,,,
GHUE*130,GHUE,130,Double,2,,,,R7G136,,,,,
GHUE*130,GHUE,130,Double,2,,,,R7G136,,,,,
GHUE*132,GHUE,132,Double,2,,,,R7G103,,,,,
GHUE*132,GHUE,132,Double,2,,,,R7G103,,,,,
GHUE*133,GHUE,133,Double,2,,,,R7G46,,,,,
GHUE*133,GHUE,133,Double,2,,,,R7G46,,,,,
GHUE*137,GHUE,137,Double,2,,,,R7G142,,,,,
GHUE*137,GHUE,137,Double,2,,,,R7G142,,,,,
GHUE*139,GHUE,139,Double,2,,,,R7G91,,,,,
GHUE*139,GHUE,139,Double,2,,,,R7G91,,,,,
GHUE*140,GHUE,140,Double,2,,,,R7G28,,,,,
GHUE*140,GHUE,140,Double,2,,,,R7G28,,,,,
GHUE*201,GHUE,201,Double,2,,,,R7G29,,,,,
GHUE*201,GHUE,201,Double,2,,,,R7G29,,,,,
GHUE*203,GHUE,203,Double,2,,,,R7G119,,,,,
GHUE*203,GHUE,203,Double,2,,,,R7G119,,,,,
GHUE*205,GHUE,205,Double,2,,,,R7G95,,,,,
GHUE*205,GHUE,205,Double,2,,,,R7G95,,,,,
GHUE*206,GHUE,206,Double,2,,,,R7G140,,,,,
GHUE*206,GHUE,206,Double,2,,,,R7G140,,,,,
GHUE*207,GHUE,207,Double,2,,,,R7G34,,,,,
GHUE*207,GHUE,207,Double,2,,,,R7G34,,,,,
GHUE*209,GHUE,209,Double,2,,,,R7G138,,,,,
GHUE*209,GHUE,209,Double,2,,,,R7G138,,,,,
GHUE*214,GHUE,214,Double,2,,,,R7G9,,,,,
GHUE*214,GHUE,214,Double,2,,,,R7G9,,,,,
GHUE*215,GHUE,215,Double,2,,,,R7G39,,,,,
GHUE*215,GHUE,215,Double,2,,,,R7G39,,,,,
GHUE*216,GHUE,216,Double,2,,,,R7G55,,,,,
GHUE*216,GHUE,216,Double,2,,,,R7G55,,,,,
GHUE*218,GHUE,218,Double,2,,,,R7G120,,,,,
GHUE*218,GHUE,218,Double,2,,,,R7G120,,,,,
GHUE*220,GHUE,220,Double,2,,,,R7G139,,,,,
GHUE*220,GHUE,220,Double,2,,,,R7G139,,,,,
GHUE*221,GHUE,221,Double,2,,,,R7G11,,,,,
GHUE*221,GHUE,221,Double,2,,,,R7G11,,,,,
GHUE*223,GHUE,223,Double,2,,,,R7G90,,,,,
GHUE*223,GHUE,223,Double,2,,,,R7G90,,,,,
GHUE*224,GHUE,224,Double,2,,,,R7G69,,,,,
GHUE*224,GHUE,224,Double,2,,,,R7G69,,,,,
GHUE*227,GHUE,227,Double,2,,,,R7G68,,,,,
GHUE*227,GHUE,227,Double,2,,,,R7G68,,,,,
GHUE*228,GHUE,228,Double,2,,,,R7G62,,,,,
GHUE*228,GHUE,228,Double,2,,,,R7G62,,,,,
GHUE*230,GHUE,230,Double,2,,,,R7G49,,,,,
GHUE*230,GHUE,230,Double,2,,,,R7G49,,,,,
GHUE*232,GHUE,232,Double,2,,,,R7G130,,,,,
GHUE*232,GHUE,232,Double,2,,,,R7G130,,,,,
GHUE*235,GHUE,235,Double,2,,,,R7G74,,,,,
GHUE*235,GHUE,235,Double,2,,,,R7G74,,,,,
GHUE*237,GHUE,237,Double,2,,,,R7G52,,,,,
GHUE*237,GHUE,237,Double,2,,,,R7G52,,,,,
GHUE*239,GHUE,239,Double,2,,,,R7G53,,,,,
GHUE*239,GHUE,239,Double,2,,,,R7G53,,,,,
GHUE*241,GHUE,241,Double,2,,,,R7G54,,,,,
GHUE*241,GHUE,241,Double,2,,,,R7G54,,,,,
GHUE*242,GHUE,242,Double,2,,,,R7G83,,,,,
GHUE*242,GHUE,242,Double,2,,,,R7G83,,,,,
GHUE*243,GHUE,243,Double,2,,,,R7G38,,,,,
GHUE*243,GHUE,243,Double,2,,,,R7G38,,,,,
GHUE*245,GHUE,245,Double,2,,,,R7G57,,,,,
GHUE*245,GHUE,245,Double,2,,,,R7G57,,,,,
GHUE*301,GHUE,301,Double,2,,,,R7G106,,,,,
GHUE*301,GHUE,301,Double,2,,,,R7G106,,,,,
GHUE*303,GHUE,303,Double,2,,,,R7G132,,,,,
GHUE*303,GHUE,303,Double,2,,,,R7G132,,,,,
GHUE*305,GHUE,305,Double,2,,,,R7G61,,,,,
GHUE*305,GHUE,305,Double,2,,,,R7G61,,,,,
GHUE*306,GHUE,306,Double,2,,,,R7G134,,,,,
GHUE*306,GHUE,306,Double,2,,,,R7G134,,,,,
GHUE*307,GHUE,307,Double,2,,,,R7G63,,,,,
GHUE*307,GHUE,307,Double,2,,,,R7G63,,,,,
GHUE*309,GHUE,309,Double,2,,,,R7G44,,,,,
GHUE*309,GHUE,309,Double,2,,,,R7G44,,,,,
GHUE*314,GHUE,314,Double,2,,,,R7G67,,,,,
GHUE*314,GHUE,314,Double,2,,,,R7G67,,,,,
GHUE*315,GHUE,315,Double,2,,,,R7G133,,,,,
GHUE*315,GHUE,315,Double,2,,,,R7G133,,,,,
GHUE*316,GHUE,316,Double,2,,,,R7G146,,,,,
GHUE*316,GHUE,316,Double,2,,,,R7G146,,,,,
GHUE*318,GHUE,318,Double,2,,,,R7G65,,,,,
GHUE*318,GHUE,318,Double,2,,,,R7G65,,,,,
GHUE*320,GHUE,320,Double,2,,,,R7G72,,,,,
GHUE*320,GHUE,320,Double,2,,,,R7G72,,,,,
GHUE*321,GHUE,321,Double,2,,,,R7G131,,,,,
GHUE*321,GHUE,321,Double,2,,,,R7G131,,,,,
GHUE*323,GHUE,323,Double,2,,,,R7G110,,,,,
GHUE*323,GHUE,323,Double,2,,,,R7G110,,,,,
GHUE*324,GHUE,324,Double,2,,,,R7G75,,,,,
GHUE*324,GHUE,324,Double,2,,,,R7G75,,,,,
GHUE*327,GHUE,327,Double,2,,,,R7G76,,,,,
GHUE*327,GHUE,327,Double,2,,,,R7G76,,,,,
GHUE*328,GHUE,328,Double,2,,,,R7G77,,,,,
GHUE*328,GHUE,328,Double,2,,,,R7G77,,,,,
GHUE*330,GHUE,330,Double,2,,,,R7G45,,,,,
GHUE*330,GHUE,330,Double,2,,,,R7G45,,,,,
GHUE*332,GHUE,332,Double,2,,,,R7G79,,,,,
GHUE*332,GHUE,332,Double,2,,,,R7G79,,,,,
GHUE*335,GHUE,335,Double,2,,,,R7G80,,,,,
GHUE*335,GHUE,335,Double,2,,,,R7G80,,,,,
GHUE*337,GHUE,337,Double,2,,,,R7G81,,,,,
GHUE*337,GHUE,337,Double,2,,,,R7G81,,,,,
GHUE*339,GHUE,339,Double,2,,,,R7G82,,,,,
GHUE*339,GHUE,339,Double,2,,,,R7G82,,,,,
GHUE*341,GHUE,341,Double,2,,,,R7G135,,,,,
GHUE*341,GHUE,341,Double,2,,,,R7G135,,,,,
GHUE*342,GHUE,342,Double,2,,,,R7G84,,,,,
GHUE*342,GHUE,342,Double,2,,,,R7G84,,,,,
GHUE*343,GHUE,343,Double,2,,,,R7G85,,,,,
GHUE*343,GHUE,343,Double,2,,,,R7G85,,,,,
GHUE*345,GHUE,345,Double,2,,,,R7G66,,,,,
