Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
NOUR*012,NOUR,012,Single,1,,,,R7L21,,,,,
NOUR*014,NOUR,014,Single,1,,,,R7L7,,,,,
NOUR*015,NOUR,015,Single,1,,,,R7L8,,,,,
NOUR*016,NOUR,016,Single,1,,,,R7L9,,,,,
NOUR*017,NOUR,017,Single,1,,,,R7L10,,,,,
NOUR*103,NOUR,103,Single,1,,,,R7L13,,,,,
NOUR*105,NOUR,105,Single,1,,,,R7L15,,,,,
NOUR*107,NOUR,107,Single,1,,,,R7L19,,,,,
NOUR*108,NOUR,108,Single,1,,,,R7L18,,,,,
NOUR*109A,NOUR,109A,Single in a Double,1,,,NOUR*109B,R7L66,,,,,
NOUR*109B,NOUR,109B,Single in a Double,1,,,SEVY*109A,R7L66,,,,,
NOUR*110,NOUR,110,Single,1,,,,R7L20,,,,,
NOUR*207,NOUR,207,Single,1,,,,R7L28,,,,,
NOUR*214,NOUR,214,Single,1,,,,R7L33,,,,,
NOUR*215,NOUR,215,Single,1,,,,R7L64,,,,,
NOUR*307,NOUR,307,Single,1,,,,R7L41,,,,,
NOUR*314,NOUR,314,Single,1,,,,R7L46,,,,,
NOUR*315,NOUR,315,Single,1,,,,R7L49,,,,,
NOUR*414,NOUR,414,Single,1,,,,R7L6,,,,,
NOUR*415,NOUR,415,Single,1,,,,R7L59,,,,,
NOUR*013,NOUR,013,Double,2,,,,R7L36,,,,,
NOUR*013,NOUR,013,Double,2,,,,R7L36,,,,,
NOUR*104A,NOUR,104A,"Double, 2 Room",2,,,,R7L14,,,,,
NOUR*104A,NOUR,104A,"Double, 2 Room",2,,,,R7L14,,,,,
NOUR*106A,NOUR,106A,"Double, 2 Room",2,,,,R7L16,,,,,
NOUR*106A,NOUR,106A,"Double, 2 Room",2,,,,R7L16,,,,,
NOUR*112,NOUR,112,Double,2,,,,R7L34,,,,,
NOUR*112,NOUR,112,Double,2,,,,R7L34,,,,,
NOUR*204A,NOUR,204A,"Double, 2 Room",2,,,,R7L26,,,,,
NOUR*204A,NOUR,204A,"Double, 2 Room",2,,,,R7L26,,,,,
NOUR*206A,NOUR,206A,"Double, 2 Room",2,,,,R7L27,,,,,
NOUR*206A,NOUR,206A,"Double, 2 Room",2,,,,R7L27,,,,,
NOUR*209A,NOUR,209A,"Double, 2 Room",2,,,,R7L30,,,,,
NOUR*209A,NOUR,209A,"Double, 2 Room",2,,,,R7L30,,,,,
NOUR*211A,NOUR,211A,"Double, 2 Room",2,,,,R7L73,,,,,
NOUR*211A,NOUR,211A,"Double, 2 Room",2,,,,R7L73,,,,,
NOUR*212,NOUR,212,Double,2,,,,R7L32,,,,,
NOUR*212,NOUR,212,Double,2,,,,R7L32,,,,,
NOUR*304A,NOUR,304A,"Double, 2 Room",2,,,,R7L40,,,,,
NOUR*304A,NOUR,304A,"Double, 2 Room",2,,,,R7L40,,,,,
NOUR*306A,NOUR,306A,"Double, 2 Room",2,,,,R7L31,,,,,
NOUR*306A,NOUR,306A,"Double, 2 Room",2,,,,R7L31,,,,,
NOUR*309A,NOUR,309A,"Double, 2 Room",2,,,,R7L45,,,,,
NOUR*309A,NOUR,309A,"Double, 2 Room",2,,,,R7L45,,,,,
NOUR*311A,NOUR,311A,"Double, 2 Room",2,,,,R7L67,,,,,
NOUR*311A,NOUR,311A,"Double, 2 Room",2,,,,R7L67,,,,,
NOUR*312,NOUR,312,Double,2,,,,R7L47,,,,,
NOUR*312,NOUR,312,Double,2,,,,R7L47,,,,,
NOUR*400,NOUR,400,Double,2,,,,R7L52,,,,,
NOUR*400,NOUR,400,Double,2,,,,R7L52,,,,,
NOUR*401,NOUR,401,Double,2,,,,R7L71,,,,,
NOUR*401,NOUR,401,Double,2,,,,R7L71,,,,,
NOUR*405,NOUR,405,Double,2,,,,R7L72,,,,,
NOUR*405,NOUR,405,Double,2,,,,R7L72,,,,,
NOUR*407A,NOUR,407A,"Double, 2 Room",2,,,,R7L55,,,,,
NOUR*407A,NOUR,407A,"Double, 2 Room",2,,,,R7L55,,,,,
NOUR*410,NOUR,410,Double,2,,,,R7L56,,,,,
NOUR*410,NOUR,410,Double,2,,,,R7L56,,,,,
NOUR*412,NOUR,412,Double,2,,,,R7L17,,,,,
NOUR*412,NOUR,412,Double,2,,,,R7L17,,,,,
NOUR*416,NOUR,416,Double,2,,,,R7L60,,,,,
NOUR*416,NOUR,416,Double,2,,,,R7L60,,,,,
NOUR*417,NOUR,417,Double,2,,,,R7L61,,,,,
NOUR*417,NOUR,417,Double,2,,,,R7L61,,,,,
NOUR*418,NOUR,418,Double,2,,,,R7L22,,,,,
NOUR*418,NOUR,418,Double,2,,,,R7L22,,,,,
NOUR*100,NOUR,100,Triple,3,,,,R7L11,,,,,
NOUR*100,NOUR,100,Triple,3,,,,R7L11,,,,,
NOUR*100,NOUR,100,Triple,3,,,,R7L11,,,,,
NOUR*101A,NOUR,101A,"Triple, 2 Room",3,,,,R7L12,,,,,
NOUR*101A,NOUR,101A,"Triple, 2 Room",3,,,,R7L12,,,,,
NOUR*101A,NOUR,101A,"Triple, 2 Room",3,,,,R7L12,,,,,
NOUR*200,NOUR,200,Triple,3,,,,R7L23,,,,,
NOUR*200,NOUR,200,Triple,3,,,,R7L23,,,,,
NOUR*200,NOUR,200,Triple,3,,,,R7L23,,,,,
NOUR*201A,NOUR,201A,"Triple, 2 Room",3,,,,R7L24,,,,,
NOUR*201A,NOUR,201A,"Triple, 2 Room",3,,,,R7L24,,,,,
NOUR*201A,NOUR,201A,"Triple, 2 Room",3,,,,R7L24,,,,,
NOUR*203A,NOUR,203A,"Triple, 2 Room",3,,,,R7L75,,,,,
NOUR*203A,NOUR,203A,"Triple, 2 Room",3,,,,R7L75,,,,,
NOUR*203A,NOUR,203A,"Triple, 2 Room",3,,,,R7L75,,,,,
NOUR*208A,NOUR,208A,"Triple, 2 Room",3,,,,R7L29,,,,,
NOUR*208A,NOUR,208A,"Triple, 2 Room",3,,,,R7L29,,,,,
NOUR*208A,NOUR,208A,"Triple, 2 Room",3,,,,R7L29,,,,,
NOUR*216,NOUR,216,Triple,3,,,,R7L74,,,,,
NOUR*216,NOUR,216,Triple,3,,,,R7L74,,,,,
