Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
BERG*101,BERG,101,Single,1,,,,R7AC3,O7AC1,,,,
BERG*102,BERG,102,Single,1,,,,R7AC12,O7AC1,,,,
BERG*104,BERG,104,Single,1,,,,R7AC11,O7AC1,,,,
HCTG*102,HCTG,102,Single,1,,,,R7AM6,O7AM10,,,,
HCTG*202,HCTG,202,Single,1,,,,R7AM5,O7AM10,,,,
BERG*103,BERG,103,Double,2,,,,R7AC5,O7AC1,,,,
BERG*103,BERG,103,Double,2,,,,R7AC5,O7AC1,,,,
BERG*201,BERG,201,Double,2,,,,R7AC7,O7AC1,,,,
BERG*201,BERG,201,Double,2,,,,R7AC7,O7AC1,,,,
HCTG*201,HCTG,201,Double,2,,,,R7AM4,O7AM10,,,,
HCTG*201,HCTG,201,Double,2,,,,R7AM4,O7AM10,,,,
HCTG*203,HCTG,203,Double,2,,,,R7AM3,O7AM10,,,,
HCTG*203,HCTG,203,Double,2,,,,R7AM3,O7AM10,,,,
