Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
BENT*103,BENT,,Single,1,,,,R7AB4,O7AB12,,,,
BENT*203,BENT,,Single,1,,,,R7AB7,O7AB12,,,,
HUNT*103,HUNT,,Single,1,,,,R7AN4,O7AN15,,,,
HUNT*110,HUNT,,Single,1,,,,R7AN6,O7AN15,,,,
HUNT*202,HUNT,,Single,1,,,,R7AN13,O7AN15,,,,
BENT*102,BENT,,Double,2,,,,R7AB3,O7AB12,,,,
BENT*102,BENT,,Double,2,,,,R7AB3,O7AB12,,,,
BENT*201A,BENT,,"Double, 2 Room",2,,,,R7AB6,O7AB12,,,,
BENT*201A,BENT,,"Double, 2 Room",2,,,,R7AB6,O7AB12,,,,
BENT*202,BENT,,Double,2,,,,R7AB11,O7AB12,,,,
BENT*202,BENT,,Double,2,,,,R7AB11,O7AB12,,,,
BENT*204,BENT,,Double,2,,,,R7AB5,O7AB12,,,,
BENT*204,BENT,,Double,2,,,,R7AB5,O7AB12,,,,
HUNT*105,HUNT,,Double,2,,,,R7AN5,O7AN15,,,,
HUNT*105,HUNT,,Double,2,,,,R7AN5,O7AN15,,,,
HUNT*203,HUNT,,Double,2,,,,R7AN8,O7AN15,,,,
HUNT*203,HUNT,,Double,2,,,,R7AN8,O7AN15,,,,
HUNT*204,HUNT,,Double,2,,,,R7AN9,O7AN15,,,,
HUNT*204,HUNT,,Double,2,,,,R7AN9,O7AN15,,,,
HUNT*208,HUNT,,Double,2,,,,R7AN10,O7AN15,,,,
HUNT*208,HUNT,,Double,2,,,,R7AN10,O7AN15,,,,
HUNT*205,HUNT,,Triple,3,,,,R7AN12,O7AN15,,,,
HUNT*205,HUNT,,Triple,3,,,,R7AN12,O7AN15,,,,
HUNT*205,HUNT,,Triple,3,,,,R7AN12,O7AN15,,,,
