Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
ALLE*101,ALLE,101,Single in a Double,1,,,ALLE102,R7AA3,O7AA2,,,,
ALLE*102,ALLE,102,Single in a Double,1,,,ALLE101,R7AA11,O7AA2,,,,
ALLE*108,ALLE,108,Single,1,,,,R7AA6,O7AA2,,,,
ALLE*201,ALLE,201,Single in a Double,1,,,ALLE*203,R7AA7,O7AA2,,,,
ALLE*203,ALLE,203,Single in a Double,1,,,ALLE*201,R7AA8,O7AA2,,,,
ALLE*204A,ALLE,204A,Single in a Double,1,,,ALLE*204B,R7AA13,O7AA2,,,,
ALLE*204B,ALLE,204B,Single in a Double,1,,,ALLE*204A,R7AA13,O7AA2,,,,
ALLE*206,ALLE,206,Single,1,,,,R7AA12,O7AA2,,,,
FARM*102,FARM,102,Single,1,,,,R7AG4,O7AG1,,,,
FARM*205,FARM,205,Single,1,,,,R7AG9,O7AG1,,,,
GFRT*109,GFRT,109,Single,1,,,,R7AH4,O7AH11,,,,
GFRT*200,GFRT,200,Single,1,,,,R7AH5,O7AH11,,,,
GFRT*201,GFRT,201,Single,1,,,,R7AH3,O7AH11,,,,
PAGE*200C,PAGE,200C,Single,1,,,,R7AP5,O7AP1,,,,
PARR*104,PARR,104,Single,1,,,,R7AG14,O7AG1,,,,
PARR*201,PARR,201,Single,1,,,,R7AG15,O7AG1,,,,
PARR*202,PARR,202,Single,1,,,,R7AG16,O7AG1,,,,
PARR*204,PARR,204,Single,1,,,,R7AG17,O7AG1,,,,
PREN*201,PREN,201,Single,1,,,,R7AT7,O7AT11,,,,
PREN*202,PREN,202,Single,1,,,,R7AT4,O7AT11,,,,
PREN*204,PREN,204,Single,1,,,,R7AT9,O7AT11,,,,
PREN*206,PREN,206,Single,1,,,,R7AT6,O7AT11,,,,
STIM*201,STIM,201,Single,1,,,,R7AV3,,,,,
STIM*202,STIM,202,Single,1,,,,R7AV4,,,,,
WILM*204,WILM,204,Single,1,,,,R7AW4,O7AW10,,,,
WILM*206,WILM,206,Single,1,,,,R7AW5,O7AW10,,,,
WILM*208,WILM,208,Single,1,,,,R7AW6,O7AW10,,,,
WILS*101,WILS,101,Single,1,,,,R7AX3,O7AX9,,,,
WILS*102,WILS,102,Single,1,,,,R7AX4,O7AX9,,,,
WILS*201,WILS,201,Single,1,,,,R7AX8,O7AX9,,,,
WILS*202,WILS,202,Single,1,,,,R7AX6,O7AX9,,,,
WILS*203,WILS,203,Single,1,,,,R7AX7,O7AX9,,,,
ALLE*107A,ALLE,107A,"Double, 2 Room",2,,,,R7AA5,O7AA2,,,,
ALLE*107A,ALLE,107A,"Double, 2 Room",2,,,,R7AA5,O7AA2,,,,
ALLE*207,ALLE,207,Double,2,,,,R7AA14,O7AA2,,,,
ALLE*207,ALLE,207,Double,2,,,,R7AA14,O7AA2,,,,
ALLE*208,ALLE,208,Double,2,,,,R7AA4,O7AA2,,,,
ALLE*208,ALLE,208,Double,2,,,,R7AA4,O7AA2,,,,
FARM*201,FARM,201,Double,2,,,,R7AG5,O7AG1,,,,
FARM*201,FARM,201,Double,2,,,,R7AG5,O7AG1,,,,
FARM*202,FARM,202,Double,2,,,,R7AG6,O7AG1,,,,
FARM*202,FARM,202,Double,2,,,,R7AG6,O7AG1,,,,
FARM*203,FARM,203,Double,2,,,,R7AG7,O7AG1,,,,
FARM*203,FARM,203,Double,2,,,,R7AG7,O7AG1,,,,
FARM*204,FARM,204,Double,2,,,,R7AG8,O7AG1,,,,
FARM*204,FARM,204,Double,2,,,,R7AG8,O7AG1,,,,
GFRT*202,GFRT,202,Double,2,,,,R7AH8,O7AH11,,,,
GFRT*202,GFRT,202,Double,2,,,,R7AH8,O7AH11,,,,
GFRT*203A,GFRT,203A,"Double, 2 Room",2,,,,R7AH7,O7AH11,,,,
GFRT*203A,GFRT,203A,"Double, 2 Room",2,,,,R7AH7,O7AH11,,,,
PAGE*200A,PAGE,200A,Double,2,,,,R7AP3,O7AP1,,,,
PAGE*200A,PAGE,200A,Double,2,,,,R7AP3,O7AP1,,,,
PAGE*200B,PAGE,200B,Double,2,,,,R7AP4,O7AP1,,,,
PAGE*200B,PAGE,200B,Double,2,,,,R7AP4,O7AP1,,,,
PREN*301,PREN,301,Double,2,,,,R7AT3,O7AT11,,,,
PREN*301,PREN,301,Double,2,,,,R7AT3,O7AT11,,,,
STIM*204,STIM,204,Double,2,,,,R7AV7,,,,,
STIM*204,STIM,204,Double,2,,,,R7AV7,,,,,
WILM*202,WILM,202,Double,2,,,,R7AW8,O7AW10,,,,
WILM*202,WILM,202,Double,2,,,,R7AW8,O7AW10,,,,
FARM*101,FARM,101,Triple,3,,,,R7AG11,O7AG1,,,,
FARM*101,FARM,101,Triple,3,,,,R7AG11,O7AG1,,,,
FARM*101,FARM,101,Triple,3,,,,R7AG11,O7AG1,,,,
