Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
WATS*201,WATS,201,Single,1,,,,R7N8,,,,,
WATS*202,WATS,202,Single,1,,,,R7N9,,,,,
WATS*204,WATS,204,Single,1,,,,R7N11,,,,,
WATS*205,WATS,205,Single,1,,,,R7N12,,,,,
WATS*208,WATS,208,Single,1,,,,R7N15,,,,,
WATS*209,WATS,209,Single,1,,,,R7N140,,,,,
WATS*211,WATS,211,Single,1,,,,R7N7,,,,,
WATS*212,WATS,212,Single,1,,,,R7N19,,,,,
WATS*215,WATS,215,Single,1,,,,R7N22,,,,,
WATS*216,WATS,216,Single,1,,,,R7N23,,,,,
WATS*218,WATS,218,Single,1,,,,R7N126,,,,,
WATS*219,WATS,219,Single,1,,,,R7N134,,,,,
WATS*301,WATS,301,Single,1,,,,R7N27,,,,,
WATS*302,WATS,302,Single,1,,,,R7N28,,,,,
WATS*304,WATS,304,Single,1,,,,R7N16,,,,,
WATS*305,WATS,305,Single,1,,,,R7N31,,,,,
WATS*308,WATS,308,Single,1,,,,R7N34,,,,,
WATS*309,WATS,309,Single,1,,,,R7N35,,,,,
WATS*311,WATS,311,Single,1,,,,R7N37,,,,,
WATS*312,WATS,312,Single,1,,,,R7N38,,,,,
WATS*315,WATS,315,Single,1,,,,R7N41,,,,,
WATS*316,WATS,316,Single,1,,,,R7N42,,,,,
WATS*318,WATS,318,Single,1,,,,R7N44,,,,,
WATS*319,WATS,319,Single,1,,,,R7N45,,,,,
WATS*401,WATS,401,Single,1,,,,R7N46,,,,,
WATS*402,WATS,402,Single,1,,,,R7N47,,,,,
WATS*404,WATS,404,Single,1,,,,R7N49,,,,,
WATS*405,WATS,405,Single,1,,,,R7N50,,,,,
WATS*408,WATS,408,Single,1,,,,R7N53,,,,,
WATS*409,WATS,409,Single,1,,,,R7N161,,,,,
WATS*411,WATS,411,Single,1,,,,R7N122,,,,,
WATS*412,WATS,412,Single,1,,,,R7N57,,,,,
WATS*415,WATS,415,Single,1,,,,R7N130,,,,,
WATS*416,WATS,416,Single,1,,,,R7N61,,,,,
WATS*418,WATS,418,Single,1,,,,R7N59,,,,,
WATS*419,WATS,419,Single,1,,,,R7N64,,,,,
WATS*501,WATS,501,Single,1,,,,R7N65,,,,,
WATS*502,WATS,502,Single,1,,,,R7N66,,,,,
WATS*504,WATS,504,Single,1,,,,R7N68,,,,,
WATS*505,WATS,505,Single,1,,,,R7N69,,,,,
WATS*508,WATS,508,Single,1,,,,R7N142,,,,,
WATS*509,WATS,509,Single,1,,,,R7N73,,,,,
WATS*511,WATS,511,Single,1,,,,R7N75,,,,,
WATS*512,WATS,512,Single,1,,,,R7N76,,,,,
WATS*515,WATS,515,Single,1,,,,R7N79,,,,,
WATS*516,WATS,516,Single,1,,,,R7N80,,,,,
WATS*518,WATS,518,Single,1,,,,R7N82,,,,,
WATS*519,WATS,519,Single,1,,,,R7N128,,,,,
WATS*601,WATS,601,Single,1,,,,R7N149,,,,,
WATS*602,WATS,602,Single,1,,,,R7N85,,,,,
WATS*604,WATS,604,Single,1,,,,R7N87,,,,,
WATS*605,WATS,605,Single,1,,,,R7N88,,,,,
WATS*608,WATS,608,Single,1,,,,R7N93,,,,,
WATS*609,WATS,609,Single,1,,,,R7N92,,,,,
WATS*611,WATS,611,Single,1,,,,R7N94,,,,,
WATS*612,WATS,612,Single,1,,,,R7N95,,,,,
WATS*615,WATS,615,Single,1,,,,R7N98,,,,,
WATS*616,WATS,616,Single,1,,,,R7N99,,,,,
WATS*618,WATS,618,Single,1,,,,R7N101,,,,,
WATS*619,WATS,619,Single,1,,,,R7N102,,,,,
WATS*701,WATS,701,Single,1,,,,R7N143,,,,,
WATS*702,WATS,702,Single,1,,,,R7N104,,,,,
WATS*704,WATS,704,Single,1,,,,R7N146,,,,,
WATS*705,WATS,705,Single,1,,,,R7N107,,,,,
WATS*708,WATS,708,Single,1,,,,R7N145,,,,,
WATS*709,WATS,709,Single,1,,,,R7N111,,,,,
WATS*711,WATS,711,Single,1,,,,R7N113,,,,,
WATS*712,WATS,712,Single,1,,,,R7N144,,,,,
WATS*715,WATS,715,Single,1,,,,R7N117,,,,,
WATS*716,WATS,716,Single,1,,,,R7N118,,,,,
WATS*718,WATS,718,Single,1,,,,R7N120,,,,,
WATS*719,WATS,719,Single,1,,,,R7N121,,,,,
WATS*203,WATS,203,Triple,3,,,,R7N125,,,,,
WATS*203,WATS,203,Triple,3,,,,R7N125,,,,,
WATS*203,WATS,203,Triple,3,,,,R7N125,,,,,
WATS*206,WATS,206,Double,2,,,,R7N13,,,,,
WATS*206,WATS,206,Double,2,,,,R7N13,,,,,
WATS*207,WATS,207,Triple,3,,,,R7N155,,,,,
WATS*207,WATS,207,Triple,3,,,,R7N155,,,,,
WATS*207,WATS,207,Triple,3,,,,R7N155,,,,,
WATS*210,WATS,210,Double,2,,,,R7N52,,,,,
WATS*210,WATS,210,Double,2,,,,R7N52,,,,,
WATS*213,WATS,213,Triple,3,,,,R7N20,,,,,
WATS*213,WATS,213,Triple,3,,,,R7N20,,,,,
WATS*213,WATS,213,Triple,3,,,,R7N20,,,,,
WATS*214,WATS,214,Double,2,,,,R7N21,,,,,
WATS*214,WATS,214,Double,2,,,,R7N21,,,,,
WATS*217,WATS,217,Triple,3,,,,R7N5,,,,,
WATS*217,WATS,217,Triple,3,,,,R7N5,,,,,
WATS*217,WATS,217,Triple,3,,,,R7N5,,,,,
WATS*303,WATS,303,Triple,3,,,,R7N29,,,,,
WATS*303,WATS,303,Triple,3,,,,R7N29,,,,,
WATS*303,WATS,303,Triple,3,,,,R7N29,,,,,
WATS*306,WATS,306,Double,2,,,,R7N32,,,,,
WATS*306,WATS,306,Double,2,,,,R7N32,,,,,
WATS*307,WATS,307,Triple,3,,,,R7N156,,,,,
WATS*307,WATS,307,Triple,3,,,,R7N156,,,,,
WATS*307,WATS,307,Triple,3,,,,R7N156,,,,,
WATS*310,WATS,310,Double,2,,,,R7N36,,,,,
WATS*310,WATS,310,Double,2,,,,R7N36,,,,,
WATS*313,WATS,313,Triple,3,,,,R7N39,,,,,
WATS*313,WATS,313,Triple,3,,,,R7N39,,,,,
WATS*313,WATS,313,Triple,3,,,,R7N39,,,,,
WATS*314,WATS,314,Double,2,,,,R7N71,,,,,
