Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
DAVI*104A,DAVI,,Single in a Quint,1,,,DAVI*104B DAVI*104C,R7E6,O7E70,,,,
DAVI*111,DAVI,,Single in a Quad,1,,,DAVI*112,R7E14,,,,,
DAVI*114,DAVI,,Single in a Triple,1,,,DAVI*115,R7E16,,,,,
DAVI*121,DAVI,,Single in a Triple,1,,,DAVI*122,R7E72,,,,,
DAVI*204A,DAVI,,Single in a Quint,1,,,DAVI*204B DAVI*204C,R7E23,O7E5,,,,
DAVI*214,DAVI,,Single in a Triple,1,,,DAVI*215,R7E13,,,,,
DAVI*221,DAVI,,Single in a Triple,1,,,DAVI*222,R7E37,,,,,
DAVI*304A,DAVI,,Single in a Quint,1,,,DAVI*304B DAVI*304C,R7E41,O7E40,,,,
DAVI*314A,DAVI,,Single in a Quint,1,,,DAVI*314B DAVI*314C,R7E50,O7E22,,,,
DAVI*319,DAVI,,Single in a Triple,1,,,DAVI*320,R7E54,,,,,
DAVI*404A,DAVI,,Single in a Quint,1,,,DAVI*404B DAVI*404C,R7E57,O7E56,,,,
DAVI*413,DAVI,,Single in a Triple,1,,,DAVI*414,R7E66,,,,,
DAVI*104B,DAVI,,Double in a Quint,2,,,DAVI*104A DAVI*104C,R7E81,O7E70,,,,
DAVI*104B,DAVI,,Double in a Quint,2,,,DAVI*104A DAVI*104C,R7E81,O7E70,,,,
DAVI*104C,DAVI,,Double in a Quint,2,,,DAVI*104A DAVI*104B,R7E8,O7E70,,,,
DAVI*104C,DAVI,,Double in a Quint,2,,,DAVI*104A DAVI*104B,R7E8,O7E70,,,,
DAVI*106,DAVI,,Double in Quad,2,,,DAVI*107,R7E15,,,,,
DAVI*106,DAVI,,Double in Quad,2,,,DAVI*107,R7E15,,,,,
DAVI*107,DAVI,,Double in Quad,2,,,DAVI*106,R7E10,,,,,
DAVI*107,DAVI,,Double in Quad,2,,,DAVI*106,R7E10,,,,,
DAVI*108,DAVI,,Double,2,,,,R7E11,,,,,
DAVI*108,DAVI,,Double,2,,,,R7E11,,,,,
DAVI*109,DAVI,,Double in Quad,2,,,DAVI*110,R7E12,,,,,
DAVI*109,DAVI,,Double in Quad,2,,,DAVI*110,R7E12,,,,,
DAVI*110,DAVI,,Double in Quad,2,,,DAVI*109,R7E79,,,,,
DAVI*110,DAVI,,Double in Quad,2,,,DAVI*109,R7E79,,,,,
DAVI*115,DAVI,,Double in Triple,2,,,DAVI*114,R7E17,,,,,
DAVI*115,DAVI,,Double in Triple,2,,,DAVI*114,R7E17,,,,,
DAVI*122,DAVI,,Double in Triple,2,,,DAVI*121,R7E20,,,,,
DAVI*122,DAVI,,Double in Triple,2,,,DAVI*121,R7E20,,,,,
