Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
CHAN*203,CHAN,,Single,1,,,,R7AD8,O7AD13,,,,
CHAN*204,CHAN,,Single,1,,,,R7AD9,O7AD13,,,,
FACL*101,FACL,,Single,1,,,,R7AY6,,,,,
FACL*102,FACL,,Single,1,,,,R7AY7,,,,,
FACL*103,FACL,,Single,1,,,,R7AY8,,,,,
FACL*104,FACL,,Single,1,,,,R7AY9,,,,,
FACL*111,FACL,,Single,1,,,,R7AY17,,,,,
FACL*201,FACL,,Single,1,,,,R7AY12,,,,,
FACL*202,FACL,,Single,1,,,,R7AY13,,,,,
FACL*203,FACL,,Single,1,,,,R7AY14,,,,,
FACL*204,FACL,,Single,1,,,,R7AY22,,,,,
CHAN*101,CHAN,,Double,2,,,,R7AD12,O7AD13,,,,
CHAN*101,CHAN,,Double,2,,,,R7AD12,O7AD13,,,,
CHAN*103,CHAN,,Double,2,,,,R7AD4,O7AD13,,,,
CHAN*103,CHAN,,Double,2,,,,R7AD4,O7AD13,,,,
CHAN*201,CHAN,,Double,2,,,,R7AD6,O7AD13,,,,
CHAN*201,CHAN,,Double,2,,,,R7AD6,O7AD13,,,,
CHAN*202,CHAN,,Double,2,,,,R7AD7,O7AD13,,,,
CHAN*202,CHAN,,Double,2,,,,R7AD7,O7AD13,,,,
CHAN*205,CHAN,,Double,2,,,,R7AD10,O7AD13,,,,
CHAN*205,CHAN,,Double,2,,,,R7AD10,O7AD13,,,,
FACL*100,FACL,,Double,2,,,,R7AY18,,,,,
FACL*100,FACL,,Double,2,,,,R7AY18,,,,,
FACL*105,FACL,,Double,2,,,,R7AY10,,,,,
FACL*105,FACL,,Double,2,,,,R7AY10,,,,,
FACL*200,FACL,,Double,2,,,,R7AY11,,,,,
FACL*200,FACL,,Double,2,,,,R7AY11,,,,,
FACL*205,FACL,,Double,2,,,,R7AY16,,,,,
FACL*205,FACL,,Double,2,,,,R7AY16,,,,,
FACL*012A,FACL,,Triple in a Sextet,3,,,FACL*012B,R7AY5,O7AY20,,,,
FACL*012A,FACL,,Triple in a Sextet,3,,,FACL*012B,R7AY5,O7AY20,,,,
FACL*012A,FACL,,Triple in a Sextet,3,,,FACL*012B,R7AY5,O7AY20,,,,
FACL*012B,FACL,,Triple in a Sextet,3,,,FACL*012A,R7AY3,O7AY20,,,,
FACL*012B,FACL,,Triple in a Sextet,3,,,FACL*012A,R7AY3,O7AY20,,,,
FACL*012B,FACL,,Triple in a Sextet,3,,,FACL*012A,R7AY3,O7AY20,,,,
