Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
CASS*106,CASS,,Single,1,,,,,,,,,
CASS*108,CASS,,Single,1,,,,,,,,,
CASS*115,CASS,,Single,1,,,,,,,,,
CASS*127,CASS,,Single,1,,,,,,,,,
CASS*129,CASS,,Single,1,,,,,,,,,
CASS*201,CASS,,Single,1,,,,,,,,,
CASS*208,CASS,,Single,1,,,,,,,,,
CASS*216,CASS,,Single,1,,,,,,,,,
CASS*217,CASS,,Single,1,,,,,,,,,
CASS*218,CASS,,Single,1,,,,,,,,,
CASS*227,CASS,,Single,1,,,,,,,,,
CASS*229,CASS,,Single,1,,,,,,,,,
CASS*301,CASS,,Single,1,,,,,,,,,
CASS*308,CASS,,Single,1,,,,,,,,,
CASS*316,CASS,,Single,1,,,,,,,,,
CASS*317,CASS,,Single,1,,,,,,,,,
CASS*318,CASS,,Single,1,,,,,,,,,
CASS*327,CASS,,Single,1,,,,,,,,,
CASS*329,CASS,,Single,1,,,,,,,,,
CASS*401,CASS,,Single,1,,,,,,,,,
CASS*408,CASS,,Single,1,,,,,,,,,
CASS*416,CASS,,Single,1,,,,,,,,,
CASS*417,CASS,,Single,1,,,,,,,,,
CASS*418,CASS,,Single,1,,,,,,,,,
CASS*427,CASS,,Single,1,,,,,,,,,
CASS*429,CASS,,Single,1,,,,,,,,,
CASS*107,CASS,,Double,2,,,,,,,,,
CASS*107,CASS,,Double,2,,,,,,,,,
CASS*109,CASS,,Double,2,,,,,,,,,
CASS*109,CASS,,Double,2,,,,,,,,,
CASS*111,CASS,,Double,2,,,,,,,,,
CASS*111,CASS,,Double,2,,,,,,,,,
CASS*112,CASS,,Double,2,,,,,,,,,
CASS*112,CASS,,Double,2,,,,,,,,,
CASS*113,CASS,,Double,2,,,,,,,,,
CASS*113,CASS,,Double,2,,,,,,,,,
CASS*114,CASS,,Double,2,,,,,,,,,
CASS*114,CASS,,Double,2,,,,,,,,,
CASS*126,CASS,,Double,2,,,,,,,,,
CASS*126,CASS,,Double,2,,,,,,,,,
CASS*128,CASS,,Double,2,,,,,,,,,
CASS*128,CASS,,Double,2,,,,,,,,,
CASS*202,CASS,,Double,2,,,,,,,,,
CASS*202,CASS,,Double,2,,,,,,,,,
CASS*203,CASS,,Double,2,,,,,,,,,
CASS*203,CASS,,Double,2,,,,,,,,,
CASS*204,CASS,,Double,2,,,,,,,,,
CASS*204,CASS,,Double,2,,,,,,,,,
CASS*205,CASS,,Double,2,,,,,,,,,
CASS*205,CASS,,Double,2,,,,,,,,,
CASS*207,CASS,,Double,2,,,,,,,,,
CASS*207,CASS,,Double,2,,,,,,,,,
CASS*209,CASS,,Double,2,,,,,,,,,
CASS*209,CASS,,Double,2,,,,,,,,,
CASS*211,CASS,,Double,2,,,,,,,,,
CASS*211,CASS,,Double,2,,,,,,,,,
CASS*212,CASS,,Double,2,,,,,,,,,
CASS*212,CASS,,Double,2,,,,,,,,,
CASS*213,CASS,,Double,2,,,,,,,,,
CASS*213,CASS,,Double,2,,,,,,,,,
CASS*214,CASS,,Double,2,,,,,,,,,
CASS*214,CASS,,Double,2,,,,,,,,,
CASS*219,CASS,,Double,2,,,,,,,,,
CASS*219,CASS,,Double,2,,,,,,,,,
CASS*220,CASS,,Double,2,,,,,,,,,
CASS*220,CASS,,Double,2,,,,,,,,,
CASS*221,CASS,,Double,2,,,,,,,,,
CASS*221,CASS,,Double,2,,,,,,,,,
CASS*222,CASS,,Double,2,,,,,,,,,
CASS*222,CASS,,Double,2,,,,,,,,,
CASS*226,CASS,,Double,2,,,,,,,,,
CASS*226,CASS,,Double,2,,,,,,,,,
CASS*228,CASS,,Double,2,,,,,,,,,
CASS*228,CASS,,Double,2,,,,,,,,,
CASS*302,CASS,,Double,2,,,,,,,,,
CASS*302,CASS,,Double,2,,,,,,,,,
CASS*303,CASS,,Double,2,,,,,,,,,
CASS*303,CASS,,Double,2,,,,,,,,,
CASS*304,CASS,,Double,2,,,,,,,,,
CASS*304,CASS,,Double,2,,,,,,,,,
CASS*305,CASS,,Double,2,,,,,,,,,
CASS*305,CASS,,Double,2,,,,,,,,,
CASS*307,CASS,,Double,2,,,,,,,,,
CASS*307,CASS,,Double,2,,,,,,,,,
CASS*309,CASS,,Double,2,,,,,,,,,
CASS*309,CASS,,Double,2,,,,,,,,,
CASS*311,CASS,,Double,2,,,,,,,,,
CASS*311,CASS,,Double,2,,,,,,,,,
CASS*312,CASS,,Double,2,,,,,,,,,
CASS*312,CASS,,Double,2,,,,,,,,,
CASS*313,CASS,,Double,2,,,,,,,,,
CASS*313,CASS,,Double,2,,,,,,,,,
CASS*314,CASS,,Double,2,,,,,,,,,
CASS*314,CASS,,Double,2,,,,,,,,,
CASS*319,CASS,,Double,2,,,,,,,,,
CASS*319,CASS,,Double,2,,,,,,,,,
CASS*320,CASS,,Double,2,,,,,,,,,
CASS*320,CASS,,Double,2,,,,,,,,,
CASS*321,CASS,,Double,2,,,,,,,,,
CASS*321,CASS,,Double,2,,,,,,,,,
CASS*322,CASS,,Double,2,,,,,,,,,
CASS*322,CASS,,Double,2,,,,,,,,,
CASS*326,CASS,,Double,2,,,,,,,,,
CASS*326,CASS,,Double,2,,,,,,,,,
CASS*328,CASS,,Double,2,,,,,,,,,
CASS*328,CASS,,Double,2,,,,,,,,,
CASS*402,CASS,,Double,2,,,,,,,,,
CASS*402,CASS,,Double,2,,,,,,,,,
CASS*403,CASS,,Double,2,,,,,,,,,
CASS*403,CASS,,Double,2,,,,,,,,,
CASS*404,CASS,,Double,2,,,,,,,,,
CASS*404,CASS,,Double,2,,,,,,,,,
CASS*405,CASS,,Double,2,,,,,,,,,
CASS*405,CASS,,Double,2,,,,,,,,,
CASS*407,CASS,,Double,2,,,,,,,,,
CASS*407,CASS,,Double,2,,,,,,,,,
CASS*409,CASS,,Double,2,,,,,,,,,
CASS*409,CASS,,Double,2,,,,,,,,,
CASS*411,CASS,,Double,2,,,,,,,,,
CASS*411,CASS,,Double,2,,,,,,,,,
CASS*412,CASS,,Double,2,,,,,,,,,
CASS*412,CASS,,Double,2,,,,,,,,,
CASS*413,CASS,,Double,2,,,,,,,,,
CASS*413,CASS,,Double,2,,,,,,,,,
CASS*414,CASS,,Double,2,,,,,,,,,
CASS*414,CASS,,Double,2,,,,,,,,,
CASS*419,CASS,,Double,2,,,,,,,,,
CASS*419,CASS,,Double,2,,,,,,,,,
CASS*420,CASS,,Double,2,,,,,,,,,
CASS*420,CASS,,Double,2,,,,,,,,,
CASS*421,CASS,,Double,2,,,,,,,,,
CASS*421,CASS,,Double,2,,,,,,,,,
CASS*422,CASS,,Double,2,,,,,,,,,
CASS*422,CASS,,Double,2,,,,,,,,,
CASS*426,CASS,,Double,2,,,,,,,,,
CASS*426,CASS,,Double,2,,,,,,,,,
CASS*428,CASS,,Double,2,,,,,,,,,
CASS*428,CASS,,Double,2,,,,,,,,,
