Building Code,Bldg/Room,Room Type,Capacity,Adjoining Rooms,Room Key,Outside Key
DAVI,DAVI*221,Single in a Triple,1,DAVI*222,R7E37,
DAVI,DAVI*304A,Single in a Quint,1,DAVI*304B DAVI*304C,R7E41,O7E40
DAVI,DAVI*314A,Single in a Quint,1,DAVI*314B DAVI*314C,R7E50,O7E22
DAVI,DAVI*319,Single in a Triple,1,DAVI*320,R7E54,
DAVI,DAVI*404A,Single in a Quint,1,DAVI*404B DAVI*404C,R7E57,O7E56
DAVI,DAVI*413,Single in a Triple,1,DAVI*414,R7E66,
DIXN,DIXN*100A,Single in a Triple,1,DIXN*100B,R7BD4,
DOUG,DOUG*201,Single,1,,R7AF3,O7AF6
DOUG,DOUG*203,Single,1,,R7AF5,O7AF6
DOWH,DOWH*200C,Single in a Sextet,1,DOWH*200A DOWH*200B DOWH*200D,R7BE5,O7BE8
DOWH,DOWH*200D,Single in a Sextet,1,DOWH*200A DOWH*200B DOWH*200C,R7BE4,O7BE8
EUGS,EUGS*100A,Single in a Quad,1,EUGS*100B EUGS*100C,R7BF1,
EUGS,EUGS*100B,Single in a Quad,1,EUGS*100A EUGS*100C,R7BF2,
EUGS,EUGS*200A,Single in a Quint,1,EUGS*200B EUGS*200C,R7BF21,
EUGS,EUGS*300A,Single in a Triple,1,EUGS*300B EUGS*300C,R7BF9,
EUGS,EUGS*300B,Single in a Triple,1,EUGS*300A EUGS*300C,R7BF5,
EUGS,EUGS*300C,Single in a Triple,1,EUGS*300A EUGS*300B,R7BF18,
EUGS,EUGS*400A,Single in a Quad,1,EUGS*400B EUGS*400C,R7BF13,
EUGS,EUGS*400B,Single in a Quad,1,EUGS*400A EUGS*400C,R7BF14,
EVAN,EVAN*006,Single,1,,,
EVAN,EVAN*107,Single,1,,,
EVAN,EVAN*205,Single,1,,,
EVAN,EVAN*305,Single,1,,,
EVAN,EVAN*411,Single,1,,,
FACL,FACL*101,Single,1,,R7AY6,
FACL,FACL*102,Single,1,,R7AY7,
FACL,FACL*103,Single,1,,R7AY8,
FACL,FACL*104,Single,1,,R7AY9,
FACL,FACL*111,Single,1,,R7AY17,
FACL,FACL*201,Single,1,,R7AY12,
FACL,FACL*202,Single,1,,R7AY13,
FACL,FACL*203,Single,1,,R7AY14,
FACL,FACL*204,Single,1,,R7AY22,
FARM,FARM*102,Single,1,,R7AG4,O7AG1
FARM,FARM*205,Single,1,,R7AG9,O7AG1
GFRT,GFRT*109,Single,1,,R7AH4,O7AH11
GFRT,GFRT*200,Single,1,,R7AH5,O7AH11
GFRT,GFRT*201,Single,1,,R7AH3,O7AH11
GHUE,GHUE*125,Single,1,,R7G19,
GHUE,GHUE*135,Single,1,,R7G25,
GHUE,GHUE*202,Single,1,,R7G30,
GHUE,GHUE*204,Single,1,,R7G31,
GHUE,GHUE*208,Single,1,,R7G35,
GHUE,GHUE*217,Single,1,,R7G41,
GHUE,GHUE*219,Single,1,,R7G42,
GHUE,GHUE*302,Single,1,,R7G59,
GHUE,GHUE*304,Single,1,,R7G60,
GHUE,GHUE*308,Single,1,,R7G64,
GHUE,GHUE*317,Single,1,,R7G70,
GHUE,GHUE*319,Single,1,,R7G71,
GHUE,GHUE*402,Single,1,,R7G88,
GHUE,GHUE*404,Single,1,,R7G89,
GHUE,GHUE*408,Single,1,,R7G93,
GHUE,GHUE*417,Single,1,,R7G99,
GHUE,GHUE*419,Single,1,,R7G100,
HALL,HALL*100B,Single,1,,R7AJ4,O7AJ1
HALL,HALL*100C,Single,1,,R7AJ12,O7AJ1
HALL,HALL*200B,Single,1,,R7AJ14,O7AJ1
HALL,HALL*200C,Single,1,,R7AJ8,O7AJ1
HALL,HALL*200D,Single,1,,R7AJ15,O7AJ1
HCTG,HCTG*102,Single,1,,R7AM6,O7AM10
HCTG,HCTG*202,Single,1,,R7AM5,O7AM10
HNRK,HNRK*109,Single,1,,R7AK9,O7AK11
HNRK,HNRK*202,Single,1,,R7AK5,O7AK11
HNRK,HNRK*203,Single,1,,R7AK6,O7AK11
HNRK,HNRK*204,Single,1,,R7AK7,O7AK11
HNRK,HNRK*206,Single,1,,R7AK8,O7AK11
HNTH,HNTH*100A,Single in a Quint,1,HNTH*100B HNTH*100C HNTH*100D,R7BG12,
HNTH,HNTH*100B,Single in a Quint,1,HNTH*100A HNTH*100C HNTH*100D,R7BG2,
HNTH,HNTH*100D,Single in a Quint,1,HNTH*100A HNTH*100B HNTH*100C,R7BG13,
HNTH,HNTH*200A,Single in a Quint,1,HNTH*200B HNTH*200C HNTH*200D,R7BG6,
HNTH,HNTH*200B,Single in a Quint,1,HNTH*200A HNTH*200C HNTH*200D,R7BG7,
HNTH,HNTH*200C,Single in a Quint,1,HNTH*200A HNTH*200B HNTH*200D,R7BG8,
HUNT,HUNT*103,Single,1,,R7AN4,O7AN15
HUNT,HUNT*110,Single,1,,R7AN6,O7AN15
