Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
BURT*103,BURT,103,Single,1,,,,R7C9,,,,,
BURT*108,BURT,108,Single,1,,,,R7C13,,,,,
BURT*109,BURT,109,Single,1,,,,R7C40,,,,,
BURT*121A,BURT,121A,Single in a Triple,1,,,BURT*121B,R7C64,,,,,
BURT*123,BURT,123,Single,1,,,,R7C22,,,,,
BURT*124,BURT,124,Single,1,,,,R7C11,,,,,
BURT*129,BURT,129,Single,1,,,,R7C104,,,,,
BURT*205,BURT,205,Single,1,,,,R7C32,,,,,
BURT*206,BURT,206,Single,1,,,,R7C33,,,,,
BURT*208A,BURT,208A,Single in a Triple,1,,,BURT*208B,R7C122,,,,,
BURT*210,BURT,210,Single,1,,,,R7C36,,,,,
BURT*211,BURT,211,Single,1,,,,R7C37,,,,,
BURT*213A,BURT,213A,Single in a Triple,1,,,BURT*213B,R7C29,,,,,
BURT*215,BURT,215,Single,1,,,,R7C108,,,,,
BURT*223,BURT,223,Single,1,,,,R7C44,,,,,
BURT*224,BURT,224,Single,1,,,,R7C45,,,,,
BURT*225A,BURT,225A,Single in a Triple,1,,,BURT*225B,R7C46,,,,,
BURT*226A,BURT,226A,Single in a Triple,1,,,BURT*226B,R7C109,,,,,
BURT*227,BURT,227,Single,1,,,,R7C48,,,,,
BURT*228,BURT,228,Single,1,,,,R7C58,,,,,
BURT*233,BURT,233,Single,1,,,,R7C107,,,,,
BURT*305,BURT,305,Single,1,,,,R7C57,,,,,
BURT*306,BURT,306,Single,1,,,,R7C26,,,,,
BURT*308A,BURT,308A,Single in a Triple,1,,,BURT*308B,R7C111,,,,,
BURT*309,BURT,309,Single,1,,,,R7C60,,,,,
BURT*310,BURT,310,Single,1,,,,R7C61,,,,,
BURT*313,BURT,313,Single,1,,,,R7C101,,,,,
BURT*317,BURT,317,Single,1,,,,R7C105,,,,,
BURT*323,BURT,323,Single,1,,,,R7C70,,,,,
BURT*324,BURT,324,Single,1,,,,R7C112,,,,,
BURT*325A,BURT,325A,Single in a Triple,1,,,BURT*325B,R7C110,,,,,
BURT*326A,BURT,326A,Single in a Triple,1,,,BURT*326B,R7C124,,,,,
